    ;ID   ;PREDICTION;REVIEW_ID             ;STARS
1   ;7    ;1         ;k6MyscXKoxIT_AIS3T1iTQ;2    
2   ;11   ;1         ;k6liPuj_dWH-JOBY5PcS2A;2    
3   ;17   ;3         ;k7CSDzlwElXHC7Tg-3z2NA;4    
4   ;21   ;1         ;k7MafNJdSsDaLiyEdBERBQ;1    
5   ;36   ;2         ;k8oehk6hS3X3Igb6DbVRLQ;4    
6   ;40   ;1         ;k9gKI3zJv_yVD6G_5gWwAw;3    
7   ;41   ;3         ;k9jwyDeXknksuaCSOU645g;2    
8   ;44   ;1         ;k9ox-ktTQdEauzN0X_Pqsw;1    
9   ;56   ;4         ;kAbIXNtJcPrsJAtFP2DOyA;3    
10  ;61   ;3         ;kAt-U0d8jeUuZM0DawsyaQ;1    
11  ;70   ;2         ;kBVgd9CtWjyrzXJMWlTizQ;3    
12  ;76   ;2         ;kBxF4J92Xzu85ATrWSS1Yw;4    
13  ;78   ;1         ;kC2fVoLy2oXHYF4x0m63lA;1    
14  ;82   ;3         ;kCX6QcDM99v6WT8QwY4TRA;4    
15  ;86   ;2         ;kDD_TvUPK5jtPDUq-ZlZaw;1    
16  ;99   ;5         ;kEDL09fITwKJbg3Z6adjUg;3    
17  ;106  ;1         ;kEidVezcKEOr9ZhVKfoHyA;2    
18  ;118  ;2         ;kFQljdQ7pKJtV2zW6gPsOQ;3    
19  ;120  ;4         ;kFWj18yi41zB1JHvfzS7qA;3    
20  ;139  ;2         ;kH9SkG3y8YbcJC5xVqsUDA;3    
21  ;146  ;5         ;kHZVuVK0cthFU9QuePAl3w;2    
22  ;147  ;1         ;kHbePpJngb-kZrITXjMpUw;3    
23  ;158  ;2         ;kIcf3L98_QUV9A6hlOsFoA;1    
24  ;174  ;1         ;kJfpTErc-_jyBwRYtcIk-w;4    
25  ;197  ;1         ;kLg3YNAB_312YwHg03pY0A;2    
26  ;206  ;1         ;kMiBUDBuMus7gL1SqK4uIQ;3    
27  ;218  ;1         ;kNTxQN_mgNtKt86_EJ7djQ;2    
28  ;227  ;2         ;kOOZb9h-1qaWGvCN8CGb3w;2    
29  ;253  ;1         ;kQVsWAlKMhDTyXCsLj13OQ;3    
30  ;263  ;4         ;kQv6vwYZ5waCMgnDwOInbw;1    
31  ;267  ;3         ;kR5iCqcbsm2ad1iqFebTiQ;3    
32  ;272  ;1         ;kRRHNGS6MiJyoIj6yz6xRg;3    
33  ;273  ;3         ;kRRogSQh6kO0Pae01YqkSA;2    
34  ;274  ;2         ;kRUBd1sVBYXASylBGJP1Mg;2    
35  ;293  ;2         ;kTJGtO0B8E5QxIotRY4j8w;1    
36  ;304  ;2         ;kTt_S38vJFD_tqPvNVupFQ;3    
37  ;317  ;3         ;kUcwbxbJHJxa7L93_bC44g;2    
38  ;327  ;4         ;kVREdDgP-wkXNKLBm2cHFQ;2    
39  ;328  ;2         ;kVRbxPVDg4R8NnOokJZ7IQ;1    
40  ;368  ;1         ;kYHNsZtiRjTBCjsFI32Q8g;3    
41  ;369  ;2         ;kYSrmSuU8jBtEatYQ0PY5g;4    
42  ;372  ;2         ;kYeWUmICkVJqwH_5N8400Q;5    
43  ;379  ;1         ;kZKs1gGPW6kNi7Lbv0jKbg;1    
44  ;384  ;4         ;kZaRQTkYnaHnDv96T5gtag;3    
45  ;390  ;5         ;kZnTRu62sxyJt0_pwzGGPA;4    
46  ;406  ;1         ;kaJ4OuNUgXYNWxm_AeiTvQ;4    
47  ;421  ;1         ;kbQzm-LKzYOG-5eNDIe-lA;2    
48  ;430  ;2         ;kcLPVgTRd4AP26u3W8fJ3Q;3    
49  ;444  ;2         ;kdJmk_SzKlDivmDkREostw;4    
50  ;498  ;1         ;kh7xIszrMf6ucp_rijpSnA;2    
51  ;514  ;2         ;kic94bziZAERHDM23oLwhA;3    
52  ;516  ;1         ;kj-m5nldmSVxKoqzJZ4dvw;1    
53  ;517  ;1         ;kj5mbAhUZt2KVIysNckGRA;2    
54  ;533  ;2         ;kkVlSPDRlokG-5_kYCuhkw;1    
55  ;536  ;2         ;kktcvoHGoIEiv6YeAd0R9w;4    
56  ;540  ;4         ;klKT7NCs4ZOVroMJdGvoIQ;1    
57  ;557  ;2         ;knLdZb1_X2q18Br_iEQ20g;5    
58  ;561  ;1         ;knte4vSR1BNZjafHtjT-lw;5    
59  ;574  ;2         ;kp8CF1Eu66cTMbiP0U_WDA;1    
60  ;585  ;3         ;kqHHGxsLid4D-Xjj9p65yw;4    
61  ;590  ;2         ;kqgLzpn-icvIhw3CMEh7uA;3    
62  ;633  ;2         ;ktrYPusMeAabbD46K1-VGw;2    
63  ;643  ;2         ;kuaxHK9ofbmfvZMK1Q-h2A;2    
64  ;664  ;3         ;kw-sIaDTkC3H2JH0mamkiA;5    
65  ;666  ;4         ;kw7bnEafwZiWDQ4o-ZG8Ew;5    
66  ;683  ;1         ;kxX1OGNJki4nu50rRWxm7Q;2    
67  ;685  ;1         ;kxYDPlzWX_yfPagijzi8Mw;2    
