    ;ID   ;PREDICTION;REVIEW_ID             ;STARS
1   ;2    ;1         ;kU5zifVyhUuwV_5sT5UCgA;3    
2   ;20   ;3         ;k_OiWTXQ8VfKuVL9dDgRyw;1    
3   ;23   ;2         ;kanMWK9fbnzSXbk9do1BrQ;1    
4   ;25   ;2         ;kbEF5Z5qih7lij9bH7FJ0g;2    
5   ;26   ;2         ;kbbg852zafUey_M1vxLU5A;2    
6   ;29   ;1         ;kcLPVgTRd4AP26u3W8fJ3Q;3    
7   ;35   ;3         ;ke1MS5fwNgTciFC1E0NqcA;3    
8   ;36   ;1         ;ke5WDR74lMqETumSbWzxDA;1    
9   ;37   ;3         ;ke_2JqZVdTSOrTRyvKFhEA;3    
10  ;52   ;3         ;kinZPruNk-2UqBNYhJPAIw;1    
11  ;54   ;4         ;kj2nbwnaRBwLkVIUpeUWNg;2    
12  ;81   ;1         ;krfCzozaL-1Oa9fdiGmRTg;1    
13  ;88   ;2         ;kuJsUIuBEgbelrCVOwO8JA;3    
14  ;89   ;2         ;kumsvPaQ0jLZb1Uw8bwheA;2    
15  ;90   ;1         ;kvftkZ4AzE0arYdi5lXobQ;1    
16  ;106  ;3         ;l17fn7GVBNKrlju5lbmfSA;2    
17  ;110  ;2         ;l2lhWUXncrUfXkl_vJ6-IQ;4    
18  ;114  ;2         ;l3zY10UwDo2vZDKvJu0aIA;2    
19  ;122  ;2         ;l6Eaf1dM-UxJLdRmRNRV0g;3    
20  ;125  ;2         ;l7I1qhB_NnW20KTF-HMj5A;1    
21  ;147  ;2         ;lCP_LIr8tAwJVGMqn1oy-Q;1    
22  ;150  ;1         ;lCnqHZWTjwLcgwfdONKMaA;2    
23  ;152  ;3         ;lDKqyL6qls9YNqxE1bUCoQ;2    
24  ;165  ;3         ;lHViPUKE2wGc6iZbqtxJNA;1    
25  ;172  ;3         ;lI2fWAc1b9BWURLage_UKg;4    
26  ;173  ;3         ;lI3eN2O1xqEsxJEmNbKIZQ;3    
27  ;182  ;1         ;lJsHFJumkyRdUK5a9YwnxA;1    
28  ;197  ;1         ;lN5JjL6XJ7UTHZL4qT8tkw;2    
29  ;199  ;1         ;lNVkp0_0uZisOkEJrkLdVQ;2    
30  ;205  ;2         ;lORumm6zkxiJtI9asPdekQ;2    
31  ;210  ;1         ;lOwknS1mbRQCdKv5rMjYXw;1    
32  ;219  ;3         ;lS2z4ergQXvwnkX0_REVSA;4    
33  ;220  ;1         ;lSNQT3MNbtI2Y5-0YdGWmA;1    
34  ;221  ;1         ;lT1PQDH0mEZG-PE5yerG-w;2    
35  ;222  ;1         ;lT1m8yJvOSv33jMIzd9FEA;1    
36  ;226  ;2         ;lUdWgmU-aJfGn_ZSLTwUog;4    
37  ;234  ;2         ;lXGg2QScvHLhck0zOe-uCA;3    
