    ;ID   ;PREDICTION;REVIEW_ID             ;STARS
1   ;16   ;1         ;k6liPuj_dWH-JOBY5PcS2A;2    
2   ;30   ;2         ;k7iMqgnAieHlywiqIy_FoA;2    
3   ;58   ;1         ;k9ox-ktTQdEauzN0X_Pqsw;1    
4   ;80   ;2         ;kBoV1iw3_QPzAgW1je31hA;2    
5   ;86   ;2         ;kCLAk3t29yYTlOe0h1GB1w;4    
6   ;97   ;3         ;kDH_10PGL-vTvqRNPggxQg;3    
7   ;108  ;3         ;kE9ohmU1hlaybYXl9KdQRQ;4    
8   ;118  ;2         ;kEYOqtWXrds1pgwZiIskuA;2    
9   ;129  ;2         ;kEwG_vC3Bsw1N-JR0stPNg;2    
10  ;135  ;2         ;kFQljdQ7pKJtV2zW6gPsOQ;3    
11  ;138  ;3         ;kFWj18yi41zB1JHvfzS7qA;3    
12  ;145  ;2         ;kGGfHeOgvek1Oj1xarGhvA;2    
13  ;161  ;2         ;kHNC-yNpoZIfTmvQ9qceVg;3    
14  ;163  ;2         ;kHZVuVK0cthFU9QuePAl3w;2    
15  ;173  ;2         ;kITXQCWQt-eroRskt6hYkA;2    
16  ;175  ;2         ;kIUZUul_Fh6SgN7H1t54Rg;2    
17  ;190  ;2         ;kJl0YRQKfBlWqBcgOf93Iw;2    
18  ;196  ;2         ;kK1_ao2Dtappzwn2Ixd6mg;2    
19  ;212  ;2         ;kLOtIM-esDOY8uRqMF_nUw;2    
20  ;216  ;2         ;kLg3YNAB_312YwHg03pY0A;2    
21  ;289  ;2         ;kR5iCqcbsm2ad1iqFebTiQ;3    
22  ;301  ;1         ;ke2ECRjJFdmZorsOkhWkiw;1    
23  ;303  ;2         ;keEkiPiTmwqRIJTtNcCDpg;3    
24  ;310  ;2         ;kepdrNSCwexgeYkc0EDxEA;3    
25  ;316  ;2         ;kfeLrU3aSjAt3amztDlgVw;4    
26  ;323  ;1         ;kg93jZXyiv8ltfKipaU67g;1    
27  ;353  ;2         ;kizbab5fG6vSrYVVE6IdRw;1    
28  ;354  ;1         ;kj-m5nldmSVxKoqzJZ4dvw;1    
29  ;355  ;2         ;kjBsC-8zi8mNWyxCjo6TzA;1    
30  ;375  ;1         ;kknI81Wco1wrvJRQiLri2A;1    
31  ;380  ;3         ;klDnvbe8S_OqEA_zf095OA;2    
32  ;385  ;2         ;klpSl6irZyJH6U9RbsOWOQ;4    
33  ;388  ;1         ;km6rkC9XL3HCOhsHc7OzeQ;1    
34  ;395  ;2         ;kmd-1HdGv_RTKkGPGNHLwQ;3    
35  ;401  ;2         ;kn4AilWea7o1H9yFKyTq2g;2    
36  ;406  ;3         ;knLdZb1_X2q18Br_iEQ20g;5    
37  ;410  ;2         ;knte4vSR1BNZjafHtjT-lw;5    
38  ;425  ;2         ;kp8CF1Eu66cTMbiP0U_WDA;1    
39  ;430  ;2         ;kpmAWXC78HjCVSBQYNObjw;2    
40  ;431  ;2         ;kpn1iR1JIqFzoQE5NSU9Dg;1    
41  ;439  ;2         ;kRRogSQh6kO0Pae01YqkSA;2    
42  ;444  ;2         ;kRiAK8fR06RNURXaWqhOqA;2    
43  ;457  ;2         ;kT2R2HiA0VLnkhjOmWPeTA;1    
44  ;462  ;3         ;kTl_-uhKvMWuaevVF-Czqw;2    
45  ;466  ;2         ;kTtFGg2_TSwy6ZaW_80FSw;4    
46  ;467  ;2         ;kU-D3CeKIa4RziSdy6F9iQ;2    
47  ;483  ;2         ;kVREdDgP-wkXNKLBm2cHFQ;2    
48  ;486  ;3         ;kVZa9INWPRsaZZ8Bx59-vw;2    
49  ;514  ;2         ;kXKI-SR4kzopJS_eJa1NRQ;1    
50  ;536  ;2         ;kZCP4CmwVKqg6nSM7nThIw;2    
51  ;541  ;3         ;kZaRQTkYnaHnDv96T5gtag;3    
52  ;544  ;2         ;kZnTRu62sxyJt0_pwzGGPA;4    
53  ;549  ;2         ;k_TnfNbk_Bd7t8_2377i2Q;2    
54  ;551  ;2         ;k_d3qqxtair5cxSDUyQxRw;2    
55  ;563  ;2         ;kbQzm-LKzYOG-5eNDIe-lA;2    
56  ;566  ;2         ;kbjsnDX_CDFvtStYKkNmAQ;2    
57  ;567  ;1         ;kbuyfCFJqsS8i5HaKpQTCA;2    
58  ;578  ;2         ;kcmquLaIek0Aq_rJQCWiAA;2    
59  ;581  ;3         ;kd1GCTHRMlK5if76eFssIQ;3    
60  ;594  ;2         ;kqYpTm4JJEfvrlvSxf42rg;4    
61  ;603  ;3         ;krBdqr63bmOA9JCZpizEOg;2    
62  ;608  ;1         ;krRJTjgl3jzmBioa5hCevA;1    
63  ;624  ;2         ;ksY9cpWZd5RUaSv83wSgqQ;2    
64  ;640  ;2         ;ktUOM7PMiMkXiSSBXr5pvw;2    
65  ;670  ;3         ;kw-sIaDTkC3H2JH0mamkiA;5    
66  ;702  ;2         ;ky4DxJG6cW4VmX1eUGY4ZQ;3    
67  ;708  ;2         ;kyWH8v12fuL72GW6Rf7okw;1    
68  ;719  ;2         ;kzRgzuOAU5Kpk29NTuXbjA;1    
69  ;736  ;3         ;l-U2JwdHoLgNmo80Yv7obQ;3    
70  ;754  ;2         ;l0ftjwJ0yeRaqvnluo2AYA;4    
71  ;756  ;2         ;l1-2gWMqws13kGkKYHUZug;3    
72  ;772  ;2         ;l27fysSlf0SqyyE7V88BwA;1    
73  ;779  ;2         ;l37EUeNRUY6YftMsBvf4Ow;2    
